Id,Label,timeset,att1,att2,att3,isometric_z_value,splitter_z_value,eigencentrality,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,modularity_class
111,Proteobacteria,,cf4763c55c1a16c0e05bae743491e114,Proteobacteria,M14,0,0,0.000838,2,1.587179,2,0.75,0.833333,0,9,1,1,2
112,Planctomycetota,,a386f15998db84fa427018552a3e3608,Planctomycetota,M20,0,0,0.000347,1,0.736099,1,1,1,0,18,0,0,33
113,Nanoarchaeota,,d580c33de9c90a2faebc80e82a78eae7,Nanoarchaeota,M3,0,0,0.000886,2,1.503367,13,0.108651,0.122748,372,1,0,0,24
114,Chloroflexi,,b018a87a9a7399551d346a1d2f8ce433,Chloroflexi,M1,0,0,0.243431,24,18.672926,11,0.228694,0.308048,75.755473,1,0.601449,166,16
115,Planctomycetota,,9c8dad162e6832b36eb05d2f48e7b919,Planctomycetota,M36,0,0,0.000566,1,0.723949,12,0.15785,0.176386,0,1,0,0,5
116,Crenarchaeota,,b1962df02939a943eb4f8ea8ce240bba,Crenarchaeota,M8,0,0,0.004213,3,2.342101,12,0.164245,0.197866,0,1,1,3,31
117,Acidobacteriota,,eba744405375bed49da98a4ca6703577,Acidobacteriota,M4,0,0,0.001186,2,1.517896,12,0.171573,0.193446,372,1,0,0,29
118,Crenarchaeota,,e417b94fd8c9d46612642b9f19b09de3,Crenarchaeota,M1,0,0,0.122946,18,13.980579,8,0.294629,0.358301,5336.998685,1,0.542484,83,21
119,Proteobacteria,,076ce393a9a6876b78556c8600186fe9,Proteobacteria,M10,0,0,0.000884,2,1.626742,2,0.666667,0.75,0,10,1,1,30
120,Crenarchaeota,,7a77a40396ff6b783c2d447bbae8a9b7,Crenarchaeota,M3,0,0,0.016521,9,6.953816,8,0.243155,0.283464,4266.41724,1,0.305556,11,24
121,Chloroflexi,,ea9e0c3f45e858b69829011cab8983ea,Chloroflexi,M3,0,0,0.00118,2,1.560291,12,0.121459,0.138221,0,1,1,1,24
122,Crenarchaeota,,aab755386cd9897e2efa54e6a0db3e22,Crenarchaeota,M2,0,0,0.569379,35,27.376025,10,0.238186,0.338876,2668.774721,1,0.589916,351,14
123,Proteobacteria,,0734eaebf0f1fafc7e75bd9f165fdc89,Proteobacteria,M9,0,0,0.000939,2,1.551785,3,0.545455,0.638889,0,19,1,1,32
124,Crenarchaeota,,5509bb9854731b68f689ff1c1263d154,Crenarchaeota,M2,0,0,0.05239,4,2.990671,10,0.219154,0.265242,3.951239,1,0.666667,4,14
125,Desulfobacterota,,67549fee9678c1f21d524e88e49b310b,Desulfobacterota,M6,0,0,0.008103,7,5.429447,10,0.22058,0.259149,1063.79697,1,0.47619,10,22
126,Proteobacteria,,55bada477a8f2e1b861e0f8c40ec0237,Proteobacteria,M7,0,0,0.000474,1,0.753635,14,0.125336,0.142244,0,1,0,0,6
127,Chloroflexi,,e06b77ed481b7dc2246120a082d7fed5,Chloroflexi,M1,0,0,0.068035,8,6.075593,12,0.192964,0.250691,53.337962,1,0.678571,19,16
128,Crenarchaeota,,bab5e8e614b21d8d2d4700a0b79fe3cc,Crenarchaeota,M1,0,0,0.00789,2,1.467497,9,0.22497,0.255344,4.459558,1,0,0,21
129,Proteobacteria,,2567727497e46c18215353cd40cebd3b,Proteobacteria,M7,0,0,0.001474,3,2.232241,14,0.125632,0.146936,2.833333,1,0.333333,1,6
130,Proteobacteria,,d60cf77dd3d084e5a87f1d289ae68bfd,Proteobacteria,M6,0,0,0.002652,3,2.333889,11,0.190209,0.216455,0,1,1,3,22
131,Proteobacteria,,0dafd2dbd56757af45504be4b5ed59c9,Proteobacteria,M11,0,0,0.000442,1,0.821529,3,0.5,0.583333,0,11,0,0,12
132,Desulfobacterota,,2946c7956af99f4bc43c8d707dda9040,Desulfobacterota,M3,0,0,0.004223,3,2.240782,8,0.218768,0.246464,3.257246,1,0.666667,2,24
133,Patescibacteria,,52a50c2f22ddcfe6a2b6b1108acb14fa,Patescibacteria,M5,0,0,0.003095,5,4.369948,6,0.275,0.429545,0.5,2,0.9,9,10
134,Crenarchaeota,,98aaa7c825d54ebde733ef5c64f0e25b,Crenarchaeota,M2,0,0,0.328398,19,14.708325,9,0.270486,0.340334,253.34848,1,0.789474,135,14
135,Proteobacteria,,37e59e1e0d83828e55fc020aec17ea1b,Proteobacteria,M2,0,0,0.606473,37,29.158023,10,0.236375,0.337133,800.654048,1,0.557057,371,14
136,Proteobacteria,,848af2a15797ab6d5757ded6ec50a6f6,Proteobacteria,M4,0,0,0.001229,2,1.48195,12,0.171731,0.194116,742,1,0,0,29
137,Caldatribacteriota,,8fb482d232fb616cd4750cef09a4d4e7,Caldatribacteriota,M1,0,0,0.227349,32,25.030193,12,0.198088,0.29305,1970.522937,1,0.399194,198,16
138,Gemmatimonadota,,ce1c4ce0019b13d98092a42e136b13e2,Gemmatimonadota,M4,0,0,0.027805,12,9.098768,11,0.219929,0.27527,281.146894,1,0.666667,44,29
139,Crenarchaeota,,c95690f94ca649c87b06e29f047006a4,Crenarchaeota,M4,0,0,0.01837,10,7.39734,11,0.199786,0.242614,35.573777,1,0.8,36,29
140,Chloroflexi,,f0b79616737071a708d112a49958a6ba,Chloroflexi,M2,0,0,0.845213,48,38.144153,9,0.263232,0.374382,922.099221,1,0.507979,573,14
